<<<<<<< HEAD
1000 	 406 	 754 	 236 	 560 	 165 	 0
1000 	 406 	 668 	 159 	 499 	 105 	 0
1000 	 406 	 1350 	 426 	 613 	 127 	 3
1000 	 406 	 1821 	 873 	 420 	 137 	 0
1000 	 407 	 649 	 232 	 473 	 111 	 0
1000 	 407 	 994 	 403 	 495 	 266 	 1
1000 	 407 	 506 	 155 	 350 	 121 	 6
1000 	 407 	 2078 	 602 	 1607 	 373 	 0
1000 	 407 	 1159 	 267 	 760 	 196 	 4
1001 	 407 	 1630 	 596 	 905 	 204 	 3
1001 	 407 	 1097 	 432 	 414 	 136 	 2
1001 	 407 	 8459 	 2166 	 5113 	 940 	 25
1001 	 407 	 369 	 130 	 239 	 58 	 2
1001 	 407 	 748 	 216 	 563 	 113 	 0
1001 	 407 	 2585 	 847 	 1928 	 421 	 0
1001 	 407 	 368 	 182 	 251 	 49 	 1
1001 	 407 	 5704 	 2171 	 2142 	 451 	 1
1001 	 407 	 610 	 289 	 394 	 133 	 1
1002 	 407 	 1203 	 326 	 472 	 115 	 0
1002 	 407 	 1823 	 1175 	 906 	 367 	 3
1002 	 407 	 1134 	 410 	 598 	 159 	 2
1002 	 407 	 969 	 263 	 708 	 150 	 0
1002 	 407 	 738 	 248 	 483 	 114 	 0
1002 	 407 	 534 	 141 	 365 	 100 	 0
1002 	 407 	 1628 	 603 	 1193 	 341 	 0
1002 	 407 	 1979 	 490 	 1411 	 349 	 0
1003 	 408 	 444 	 160 	 305 	 89 	 0
1003 	 408 	 464 	 132 	 336 	 87 	 0
1003 	 408 	 4815 	 1808 	 3633 	 1384 	 16
1003 	 408 	 1062 	 269 	 753 	 130 	 0
1003 	 408 	 569 	 128 	 450 	 55 	 2
1003 	 408 	 1095 	 596 	 646 	 282 	 7
1003 	 408 	 625 	 261 	 434 	 139 	 1
1003 	 408 	 1267 	 370 	 899 	 192 	 2
1003 	 408 	 709 	 235 	 559 	 133 	 2
1004 	 408 	 1271 	 407 	 882 	 237 	 4
1004 	 411 	 889 	 163 	 731 	 107 	 0
1004 	 409 	 1749 	 377 	 1185 	 205 	 0
1004 	 409 	 3032 	 991 	 1381 	 209 	 0
1004 	 409 	 2461 	 730 	 1036 	 394 	 0
1004 	 409 	 431 	 132 	 258 	 57 	 0
1004 	 409 	 1131 	 234 	 812 	 129 	 0
1004 	 409 	 2565 	 1166 	 1791 	 414 	 7
1005 	 409 	 1078 	 228 	 778 	 105 	 0
1005 	 409 	 445 	 166 	 298 	 89 	 1
1005 	 409 	 614 	 140 	 434 	 85 	 1
1005 	 409 	 1088 	 189 	 871 	 98 	 6
1005 	 410 	 633 	 178 	 425 	 102 	 1
1005 	 410 	 686 	 127 	 328 	 73 	 0
1005 	 410 	 951 	 286 	 240 	 113 	 0
1005 	 411 	 1776 	 603 	 1033 	 145 	 5
1005 	 411 	 14176 	 4785 	 8833 	 2854 	 3
1006 	 411 	 824 	 477 	 361 	 135 	 0
1006 	 411 	 1174 	 257 	 426 	 87 	 3
1006 	 411 	 1990 	 448 	 753 	 148 	 1
1006 	 411 	 745 	 498 	 376 	 143 	 2
1006 	 411 	 843 	 615 	 478 	 178 	 3
1006 	 411 	 3101 	 1446 	 2120 	 647 	 9
1006 	 411 	 1092 	 1045 	 303 	 184 	 2
1006 	 411 	 3440 	 1061 	 1221 	 449 	 6
1007 	 412 	 689 	 132 	 362 	 87 	 0
1007 	 412 	 5460 	 1876 	 4156 	 1008 	 6
1007 	 412 	 438 	 196 	 306 	 138 	 15
1007 	 412 	 1384 	 133 	 954 	 88 	 0
1007 	 412 	 8863 	 5475 	 5078 	 2520 	 14
1007 	 412 	 800 	 401 	 510 	 103 	 0
1007 	 412 	 2386 	 2590 	 1409 	 1390 	 0
1007 	 412 	 1054 	 345 	 585 	 182 	 1
1007 	 412 	 721 	 178 	 541 	 108 	 0
1008 	 413 	 803 	 320 	 636 	 121 	 2
1008 	 413 	 675 	 117 	 517 	 47 	 0
1008 	 413 	 838 	 147 	 614 	 108 	 2
1008 	 413 	 603 	 179 	 416 	 63 	 2
1008 	 413 	 422 	 102 	 269 	 50 	 0
1008 	 413 	 615 	 96 	 421 	 51 	 0
1008 	 413 	 581 	 157 	 439 	 64 	 0
1008 	 413 	 561 	 164 	 437 	 100 	 0
1009 	 413 	 558 	 262 	 324 	 159 	 0
1009 	 413 	 451 	 157 	 304 	 60 	 0
1009 	 413 	 1505 	 580 	 972 	 275 	 2
1009 	 413 	 3080 	 1219 	 2347 	 774 	 1
1009 	 413 	 816 	 240 	 587 	 145 	 1
1009 	 414 	 17155 	 9552 	 6383 	 3490 	 75
1009 	 414 	 655 	 252 	 428 	 126 	 0
1009 	 414 	 4790 	 2406 	 2558 	 731 	 2
1010 	 414 	 4015 	 4082 	 2869 	 936 	 55
1010 	 414 	 1180 	 236 	 867 	 149 	 0
1010 	 414 	 724 	 164 	 457 	 84 	 0
1010 	 414 	 1410 	 869 	 884 	 404 	 2
1010 	 414 	 737 	 329 	 512 	 173 	 0
1010 	 414 	 1343 	 772 	 653 	 160 	 0
1010 	 414 	 5621 	 1901 	 3879 	 773 	 13
1010 	 414 	 593 	 243 	 386 	 79 	 1
1011 	 414 	 4441 	 3879 	 2321 	 2114 	 17
1011 	 414 	 1040 	 278 	 784 	 245 	 0
1011 	 414 	 1474 	 689 	 480 	 232 	 0
1011 	 414 	 4349 	 1247 	 1336 	 351 	 9999
1011 	 414 	 554 	 133 	 365 	 81 	 9999
1011 	 414 	 950 	 389 	 618 	 241 	 9999
1011 	 414 	 721 	 214 	 403 	 109 	 9999
1011 	 414 	 588 	 227 	 390 	 91 	 9999
1011 	 414 	 1022 	 437 	 527 	 211 	 9999
1012 	 414 	 1125 	 533 	 727 	 333 	 9999
1012 	 414 	 428 	 130 	 287 	 82 	 9999
1012 	 414 	 1006 	 399 	 415 	 86 	 9999
1012 	 415 	 1298 	 427 	 628 	 176 	 9999
1012 	 415 	 1041 	 196 	 737 	 85 	 9999
1012 	 415 	 494 	 156 	 289 	 101 	 9999
=======
1000 	 419 	 2080 	 2968 	 744 	 401 	 9999
>>>>>>> ef66b1b40756b46245c50f86e0214ba6e8c7b554
